id,age_min,age_max,raw_min,raw_max,standard,rank
bf11,14,15,0,1,2,2

bf11,15,16,10,inf,13,0
bf11,15,16,9,9,9,0
bf11,15,16,8,8,8,0
bf11,15,16,7,7,7,0
bf11,15,16,4,6,6,1
bf11,15,16,2,3,4,2
bf11,15,16,0,1,2,2

bf12,11,12,10,inf,15,0
bf12,11,12,9,9,13,0
bf12,11,12,7,8,12,0
bf12,11,12,6,6,11,0
bf12,11,12,5,5,10,0
bf12,11,12,4,4,9,0
bf12,11,12,3,3,8,0
bf12,11,12,2,2,7,0
bf12,11,12,1,1,6,1
bf12,11,12,0,0,4,2

bf12,12,13,10,inf,15,0
bf12,12,13,9,9,13,0
bf12,12,13,8,8,12,0
bf12,12,13,7,7,11,0
bf12,12,13,6,6,10,0
bf12,12,13,5,5,9,0
bf12,12,13,4,4,8,0
bf12,12,13,3,3,7,0
bf12,12,13,2,2,6,1
bf12,12,13,1,1,4,2
bf12,12,13,0,0,3,2

bf12,13,14,10,inf,14,0
bf12,13,14,9,9,12,0
bf12,13,14,8,8,11,0
bf12,13,14,6,7,10,0
bf12,13,14,5,5,9,0
bf12,13,14,4,4,8,0
bf12,13,14,3,3,7,0
bf12,13,14,2,2,6,1
bf12,13,14,1,1,4,2
bf12,13,14,0,0,3,2

bf12,14,15,10,inf,14,0
bf12,14,15,9,9,12,0
bf12,14,15,8,8,11,0
bf12,14,15,7,7,10,0
bf12,14,15,6,6,9,0
bf12,14,15,4,5,6,1
bf12,14,15,2,3,5,2
bf12,14,15,0,1,3,2

bf12,15,16,10,inf,14,0
bf12,15,16,9,9,12,0
bf12,15,16,8,8,11,0
bf12,15,16,7,7,10,0
bf12,15,16,6,6,9,0
bf12,15,16,4,5,6,1
bf12,15,16,2,3,5,2
bf12,15,16,0,1,3,2

bf2,5,6,10,inf,19,0
bf2,5,6,9,9,14,0
bf2,5,6,8,8,13,0
bf2,5,6,7,7,12,0
bf2,5,6,6,6,11,0
bf2,5,6,5,5,10,0
bf2,5,6,4,4,8,0
bf2,5,6,3,3,5,2
bf2,5,6,2,2,4,2
bf2,5,6,1,1,2,2
bf2,5,6,0,0,1,2

bf2,6,7,10,inf,16,0
bf2,6,7,9,9,14,0
bf2,6,7,8,8,13,0
bf2,6,7,7,7,11,0
bf2,6,7,6,6,9,0
bf2,6,7,5,5,8,0
bf2,6,7,4,4,7,0
bf2,6,7,3,3,5,2
bf2,6,7,2,2,4,2
bf2,6,7,1,1,3,2
bf2,6,7,0,0,1,2

bf2,7,8,10,inf,17,0
bf2,7,8,9,9,15,0
bf2,7,8,8,8,12,0
bf2,7,8,7,7,11,0
bf2,7,8,5,6,9,0
bf2,7,8,4,4,7,0
bf2,7,8,2,3,5,2
bf2,7,8,0,1,3,2

bf2,8,9,10,inf,17,0
bf2,8,9,9,9,14,0
bf2,8,9,7,8,11,0
bf2,8,9,6,6,8,0
bf2,8,9,5,5,6,1
bf2,8,9,4,4,5,2
bf2,8,9,3,3,4,2
bf2,8,9,0,2,3,2

bf2,9,10,10,inf,14,0
bf2,9,10,9,9,12,0
bf2,9,10,7,8,11,0
bf2,9,10,6,6,8,0
bf2,9,10,5,5,6,1
bf2,9,10,4,4,5,2
bf2,9,10,3,3,4,2
bf2,9,10,0,2,3,2

bf2,10,11,10,inf,14,0
bf2,10,11,9,9,12,0
bf2,10,11,8,8,11,0
bf2,10,11,7,7,8,0
bf2,10,11,6,6,7,0
bf2,10,11,4,5,5,2
bf2,10,11,3,3,4,2
bf2,10,11,0,2,3,2

bf2,11,12,9,inf,17,0
bf2,11,12,8,8,15,0
bf2,11,12,7,7,13,0
bf2,11,12,6,6,11,0
bf2,11,12,5,5,10,0
bf2,11,12,4,4,7,0
bf2,11,12,2,3,6,1
bf2,11,12,1,1,5,2
bf2,11,12,0,0,3,2

bf2,12,13,9,inf,16,0
bf2,12,13,8,8,14,0
bf2,12,13,7,7,13,0
bf2,12,13,6,6,10,0
bf2,12,13,5,5,9,0
bf2,12,13,4,4,7,0
bf2,12,13,2,3,6,1
bf2,12,13,1,1,4,2
bf2,12,13,0,0,3,2

bf2,13,14,10,inf,16,0
bf2,13,14,9,9,15,0
bf2,13,14,8,8,12,0
bf2,13,14,7,7,11,0
bf2,13,14,6,6,10,0
bf2,13,14,5,5,9,0
bf2,13,14,4,4,7,0
bf2,13,14,3,3,6,1
bf2,13,14,0,2,4,2

bf2,14,15,10,inf,16,0
bf2,14,15,9,9,15,0
bf2,14,15,8,8,12,0
bf2,14,15,7,7,11,0
bf2,14,15,6,6,10,0
bf2,14,15,5,5,8,0
bf2,14,15,4,4,7,0
bf2,14,15,3,3,5,2
bf2,14,15,1,2,4,2
bf2,14,15,0,0,3,2

bf2,15,16,10,inf,16,0
bf2,15,16,9,9,15,0
bf2,15,16,8,8,12,0
bf2,15,16,7,7,11,0
bf2,15,16,6,6,10,0
bf2,15,16,5,5,8,0
bf2,15,16,4,4,7,0
bf2,15,16,3,3,5,2
bf2,15,16,1,2,4,2
bf2,15,16,0,0,3,2

bl1,11,12,29,inf,13,0
bl1,11,12,27,28,11,0
bl1,11,12,23,26,10,0
bl1,11,12,18,22,9,0
bl1,11,12,11,17,8,0
bl1,11,12,7,10,7,0
bl1,11,12,6,6,6,1
bl1,11,12,4,5,5,2
bl1,11,12,3,3,4,2
bl1,11,12,1,2,3,2
bl1,11,12,0,0,2,2

bl1,12,13,29,inf,13,0
bl1,12,13,27,28,11,0
bl1,12,13,23,26,10,0
bl1,12,13,18,22,9,0
